FIRSTNAME,"MIDDLE NAME","LAST NAME",ID,BIRTHDAY,ADDRESS,SIGNATURE,"DATE ISSUE",SEX,STATUS,BIRTHPLACE,EMERGENCY,OCCUPATION,ELIGIBILITY,IDNO,QRCODE
SOFIA,SALAZAR,MIRANDA,R-202503-0013,"SEP. 11, 2021","HOUSE #969 STREET 4, SALVACION, ALICIA, ISABELA, 3200",NO,,FEMALE,SINGLE,,,STUDENT,,5A015DF3253C,QR-R-67F287B5F9
FRANCISCO,,MENDOZA,R-202503-0014,"DEC. 27, 2014","HOUSE #969 STREET 4, SALVACION, ALICIA, ISABELA, 3200",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-544DC5EEFD
TERESA,MENDOZA,"DELA PEñA",R-202503-0015,"MAY. 1, 1981","HOUSE #969 STREET 4, SALVACION, ALICIA, ISABELA, 3200",NO,,FEMALE,SINGLE,,,PRIVATE_EMPLOYEE,,AF197C78BDCB,QR-R-6CDDDF2656
ELENA,"DE LA CRUZ",SANTOS,R-202503-0016,"FEB. 13, 2007","HOUSE #338 STREET 28, M.H. DEL PILAR, ALICIA, ISABELA, 4274",NO,,MALE,SINGLE,,,FACTORY_WORKER,,,QR-R-32FDD5927F
ELENA,GARCIA,MARTINEZ,R-202503-0017,"JAN. 26, 1974","HOUSE #338 STREET 28, M.H. DEL PILAR, ALICIA, ISABELA, 4274",NO,,MALE,SEPARATED,,,LABORER,,3BC01150F2F4,QR-R-8B7B1BC821
JUAN,CASTRO,VALDEZ,R-202503-0018,"FEB. 12, 1939","HOUSE #338 STREET 28, M.H. DEL PILAR, ALICIA, ISABELA, 4274",NO,,FEMALE,MARRIED,,,BUSINESS_OWNER,"SENIOR CITIZEN, PWD",A4009DA23CA6,QR-R-47351388E0
LOURDES,SANTOS,"DELA PEñA",R-202503-0019,"JAN. 5, 2009","HOUSE #338 STREET 28, M.H. DEL PILAR, ALICIA, ISABELA, 4274",NO,,MALE,SINGLE,,,STUDENT,,454D5C8FA090,QR-R-0EB8992C04
SOFIA,,SANTOS,R-202503-0020,"DEC. 30, 1987","HOUSE #338 STREET 28, M.H. DEL PILAR, ALICIA, ISABELA, 4274",NO,,FEMALE,SEPARATED,,,LABORER,,,QR-R-960D4C8457
CARMEN,REYES,ESPIRITU,R-202503-0021,"JUN. 22, 2006","HOUSE #77 STREET 41, CALAOCAN (POB.), ALICIA, ISABELA, 3913",NO,,FEMALE,SINGLE,,,LABORER,,F9510C61054B,QR-R-1B83C71B63
PEDRO,,RAMOS,R-202503-0022,"JAN. 18, 1991","HOUSE #77 STREET 41, CALAOCAN (POB.), ALICIA, ISABELA, 3913",NO,,MALE,SINGLE,,,BUSINESS_OWNER,,CEA667A8F27D,QR-R-844969CA76
ROSA,LOPEZ,MENDOZA,R-202503-0023,"APR. 23, 1995","HOUSE #77 STREET 41, CALAOCAN (POB.), ALICIA, ISABELA, 3913",NO,,FEMALE,SINGLE,,,VENDOR,,F9545D5565DA,QR-R-0440C866A8
MIGUEL,,SANTOS,R-202503-0024,"OCT. 17, 1955","HOUSE #77 STREET 41, CALAOCAN (POB.), ALICIA, ISABELA, 3913",NO,,FEMALE,WIDOWED,,,RETIRED,"SENIOR CITIZEN",22467BC4AB2A,QR-R-89BB2A1427
JOSEFINA,,PASCUAL,R-202503-0025,"APR. 15, 1950","HOUSE #77 STREET 41, CALAOCAN (POB.), ALICIA, ISABELA, 3913",NO,,FEMALE,SEPARATED,,,RETIRED,"SENIOR CITIZEN, PWD",47786E35E562,QR-R-AFC696A0E6
ANTONIO,,"DEL ROSARIO",R-202503-0026,"JUN. 29, 1944","HOUSE #77 STREET 41, CALAOCAN (POB.), ALICIA, ISABELA, 3913",NO,,MALE,MARRIED,,,RETIRED,"SENIOR CITIZEN",F3CA57BAF405,QR-R-0F4FFF905F
TERESA,,PEREZ,R-202503-0027,"JUN. 20, 1957","HOUSE #789 STREET 3, APANAY, ALICIA, ISABELA, 1704",NO,,FEMALE,WIDOWED,,,RETIRED,"SENIOR CITIZEN, PWD",36FCC64A8B23,QR-R-4AC47DB99B
ANA,,RODRIGUEZ,R-202503-0028,"JUN. 14, 1999","HOUSE #789 STREET 3, APANAY, ALICIA, ISABELA, 1704",NO,,MALE,SINGLE,,,FACTORY_WORKER,,,QR-R-7F11A46719
MANUEL,,FLORES,R-202503-0029,"SEP. 15, 2008","HOUSE #997 STREET 49, RIZALUNA, ALICIA, ISABELA, 5566",NO,,FEMALE,SINGLE,,,STUDENT,,1A6AEAF80054,QR-R-0D482DE6E8
TERESA,CASTRO,VILLANUEVA,R-202503-0030,"JAN. 22, 2011","HOUSE #997 STREET 49, RIZALUNA, ALICIA, ISABELA, 5566",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-0CFABA08FC
SOFIA,GONZALES,ESPIRITU,R-202503-0031,"MAR. 24, 2015","HOUSE #997 STREET 49, RIZALUNA, ALICIA, ISABELA, 5566",NO,,MALE,SINGLE,,,STUDENT,,3CF8EEC077B7,QR-R-FEE35BC6A9
CARMEN,RODRIGUEZ,FLORES,R-202503-0032,"APR. 20, 2010","HOUSE #331 STREET 44, SAN JUAN, ALICIA, ISABELA, 4294",NO,,MALE,SINGLE,,,STUDENT,,F21F22590F61,QR-R-1F24ED3A9C
CARMEN,,MARQUEZ,R-202503-0033,"JUL. 12, 1947","HOUSE #331 STREET 44, SAN JUAN, ALICIA, ISABELA, 4294",NO,,FEMALE,WIDOWED,,,UNEMPLOYED,"SENIOR CITIZEN, PWD",,QR-R-7203140FF5
PEDRO,,TORRES,R-202503-0034,"MAR. 22, 1995","HOUSE #331 STREET 44, SAN JUAN, ALICIA, ISABELA, 4294",NO,,MALE,MARRIED,,,BUSINESS_OWNER,,,QR-R-9B786E12A1
PEDRO,MENDOZA,"DE LA CRUZ",R-202503-0035,"JAN. 26, 1995","HOUSE #331 STREET 44, SAN JUAN, ALICIA, ISABELA, 4294",NO,,MALE,SINGLE,,,VENDOR,,D743DB4221BF,QR-R-96600CB2C1
FRANCISCO,,FLORES,R-202503-0036,"MAR. 25, 1978","HOUSE #331 STREET 44, SAN JUAN, ALICIA, ISABELA, 4294",NO,,FEMALE,MARRIED,,,PRIVATE_EMPLOYEE,,,QR-R-49A69853D9
CARLOS,RIVERA,DIAZ,R-202503-0037,"MAY. 7, 2000","HOUSE #331 STREET 44, SAN JUAN, ALICIA, ISABELA, 4294",NO,,FEMALE,SINGLE,,,FARMER,,,QR-R-55048CF132
SOFIA,GONZALES,DOMINGO,R-202503-0038,"DEC. 10, 1942","HOUSE #581 STREET 48, VICTORIA, ALICIA, ISABELA, 8830",NO,,MALE,MARRIED,,,RETIRED,"SENIOR CITIZEN",DF09B314252F,QR-R-3B4F6F89E5
FRANCISCO,CRUZ,SANTIAGO,R-202503-0039,"FEB. 24, 2005","HOUSE #581 STREET 48, VICTORIA, ALICIA, ISABELA, 8830",NO,,MALE,SINGLE,,,FACTORY_WORKER,,,QR-R-C61A4BC947
SOFIA,,HERNANDEZ,R-202503-0040,"MAY. 31, 1993","HOUSE #581 STREET 48, VICTORIA, ALICIA, ISABELA, 8830",NO,,MALE,MARRIED,,,LABORER,,65CEEF65C6F6,QR-R-D406A00C49
JUAN,,ESPIRITU,R-202503-0041,"MAY. 18, 1995","HOUSE #675 STREET 8, RIZAL, ALICIA, ISABELA, 6599",NO,,MALE,MARRIED,,,FACTORY_WORKER,,834B2B215B4F,QR-R-B8CADE9A34
ROSA,PEREZ,RAMOS,R-202503-0042,"OCT. 19, 2021","HOUSE #675 STREET 8, RIZAL, ALICIA, ISABELA, 6599",NO,,MALE,SINGLE,,,STUDENT,,3D4B389A2F14,QR-R-0146F22946
CARLOS,,FLORES,R-202503-0043,"JUN. 26, 2010","HOUSE #808 STREET 48, SANTO TOMAS, ALICIA, ISABELA, 6468",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-A2FDECE248
JUAN,,MENDOZA,R-202503-0044,"JUN. 18, 2004","HOUSE #808 STREET 48, SANTO TOMAS, ALICIA, ISABELA, 6468",NO,,FEMALE,MARRIED,,,STUDENT,,,QR-R-E87A63F6DA
SOFIA,,ROBLES,R-202503-0045,"JUN. 29, 1976","HOUSE #808 STREET 48, SANTO TOMAS, ALICIA, ISABELA, 6468",NO,,FEMALE,MARRIED,,,VENDOR,PWD,D8D728312F3F,QR-R-9B3EF8F37C
ANA,,CRUZ,R-202503-0046,"JUN. 28, 2005","HOUSE #808 STREET 48, SANTO TOMAS, ALICIA, ISABELA, 6468",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-39362C0AE1
ELENA,TORRES,LOPEZ,R-202503-0047,"FEB. 29, 1996","HOUSE #808 STREET 48, SANTO TOMAS, ALICIA, ISABELA, 6468",NO,,MALE,SINGLE,,,FACTORY_WORKER,,B3E57A26B6B5,QR-R-5FEBEF5115
LOURDES,AQUINO,CRUZ,R-202503-0048,"NOV. 22, 2014","HOUSE #808 STREET 48, SANTO TOMAS, ALICIA, ISABELA, 6468",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-E39FF42EA7
ROSA,"DE LA CRUZ",REYES,R-202503-0049,"MAR. 18, 1964","HOUSE #793 STREET 8, SANTO TOMAS, ALICIA, ISABELA, 8715",NO,,MALE,MARRIED,,,RETIRED,"SENIOR CITIZEN",,QR-R-27A3EFD503
RAFAEL,MENDOZA,ROMERO,R-202503-0050,"FEB. 20, 1972","HOUSE #793 STREET 8, SANTO TOMAS, ALICIA, ISABELA, 8715",NO,,MALE,MARRIED,,,VENDOR,,,QR-R-683149DFAD
FRANCISCO,GONZALES,AQUINO,R-202503-0051,"OCT. 13, 2008","HOUSE #939 STREET 46, SAN PEDRO, ALICIA, ISABELA, 8772",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-D909EFB55C
JUAN,REYES,PASCUAL,R-202503-0052,"FEB. 3, 2013","HOUSE #939 STREET 46, SAN PEDRO, ALICIA, ISABELA, 8772",NO,,MALE,SINGLE,,,STUDENT,,477B0381AACC,QR-R-22A56F8840
JUAN,RIVERA,HERNANDEZ,R-202503-0053,"SEP. 12, 1984","HOUSE #939 STREET 46, SAN PEDRO, ALICIA, ISABELA, 8772",NO,,FEMALE,MARRIED,,,LABORER,,,QR-R-81C58F796E
JUAN,SALAZAR,AQUINO,R-202503-0054,"JUN. 28, 1985","HOUSE #939 STREET 46, SAN PEDRO, ALICIA, ISABELA, 8772",NO,,MALE,MARRIED,,,LABORER,,,QR-R-8465BE1E6B
LOURDES,PEREZ,GUTIERREZ,R-202503-0055,"JUN. 8, 1942","HOUSE #939 STREET 46, SAN PEDRO, ALICIA, ISABELA, 8772",NO,,FEMALE,MARRIED,,,RETIRED,"SENIOR CITIZEN",,QR-R-2C284C3329
MARIA,,MENDOZA,R-202503-0056,"FEB. 1, 1980","HOUSE #83 STREET 39, DAGUPAN, ALICIA, ISABELA, 3977",NO,,FEMALE,MARRIED,,,FARMER,PWD,,QR-R-882BCA0157
ANA,SALAZAR,SANTOS,R-202503-0057,"APR. 30, 1950","HOUSE #83 STREET 39, DAGUPAN, ALICIA, ISABELA, 3977",NO,,MALE,SINGLE,,,VENDOR,"SENIOR CITIZEN, PWD",,QR-R-4F0B8CC76F
JUAN,NAVARRO,RIVERA,R-202503-0058,"APR. 11, 1972","HOUSE #943 STREET 30, CALAOCAN (POB.), ALICIA, ISABELA, 1081",NO,,MALE,SINGLE,,,VENDOR,,,QR-R-85888F1CEC
LUISA,,MORALES,R-202503-0059,"OCT. 12, 1966","HOUSE #943 STREET 30, CALAOCAN (POB.), ALICIA, ISABELA, 1081",NO,,FEMALE,MARRIED,,,FACTORY_WORKER,PWD,ED124F5D177B,QR-R-E890199AFA
MIGUEL,GONZALES,RIVERA,R-202503-0060,"SEP. 4, 2011","HOUSE #943 STREET 30, CALAOCAN (POB.), ALICIA, ISABELA, 1081",NO,,FEMALE,SINGLE,,,STUDENT,PWD,,QR-R-9BE1622417
SOFIA,CASTRO,GUTIERREZ,R-202503-0061,"SEP. 4, 1981","HOUSE #943 STREET 30, CALAOCAN (POB.), ALICIA, ISABELA, 1081",NO,,MALE,MARRIED,,,TEACHER,,,QR-R-2A60012EB7
SOFIA,,NAVARRO,R-202503-0062,"JUN. 7, 1994","HOUSE #220 STREET 29, LINGLINGAY, ALICIA, ISABELA, 7668",NO,,FEMALE,SEPARATED,,,FARMER,,,QR-R-0CD74644EE
JUAN,,"DE GUZMAN",R-202503-0063,"JUN. 11, 1985","HOUSE #220 STREET 29, LINGLINGAY, ALICIA, ISABELA, 7668",NO,,FEMALE,MARRIED,,,FARMER,,,QR-R-50D6359CF5
MIGUEL,GARCIA,PADILLA,R-202503-0064,"MAR. 12, 2009","HOUSE #220 STREET 29, LINGLINGAY, ALICIA, ISABELA, 7668",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-14CE5D5683
MIGUEL,,GARCIA,R-202503-0065,"FEB. 25, 2011","HOUSE #703 STREET 29, AURORA, ALICIA, ISABELA, 2680",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-4365A2F166
ANA,MENDOZA,CASTRO,R-202503-0066,"SEP. 3, 2005","HOUSE #703 STREET 29, AURORA, ALICIA, ISABELA, 2680",NO,,MALE,SINGLE,,,UNEMPLOYED,,,QR-R-BB13764248
ELENA,CRUZ,MORALES,R-202503-0067,"FEB. 7, 2001","HOUSE #703 STREET 29, AURORA, ALICIA, ISABELA, 2680",NO,,MALE,SINGLE,,,FACTORY_WORKER,,0F722416D9A3,QR-R-4F8D208234
LOURDES,CASTRO,"DEL ROSARIO",R-202503-0068,"MAY. 6, 1935","HOUSE #703 STREET 29, AURORA, ALICIA, ISABELA, 2680",NO,,FEMALE,MARRIED,,,RETIRED,"SENIOR CITIZEN",59A32819FB2B,QR-R-C4B5DE7855
CARMEN,,MARQUEZ,R-202503-0069,"JUL. 26, 1982","HOUSE #703 STREET 29, AURORA, ALICIA, ISABELA, 2680",NO,,FEMALE,WIDOWED,,,FACTORY_WORKER,,421CDA81D259,QR-R-5903203E73
PEDRO,,RODRIGUEZ,R-202503-0070,"APR. 26, 1989","HOUSE #703 STREET 29, AURORA, ALICIA, ISABELA, 2680",NO,,FEMALE,SINGLE,,,FARMER,,6B5061D67099,QR-R-3E36FD4E9C
FRANCISCO,SALAZAR,ESPIRITU,R-202503-0071,"MAR. 22, 2008","HOUSE #112 STREET 21, DAGUPAN, ALICIA, ISABELA, 6738",NO,,FEMALE,SINGLE,,,STUDENT,,27B3A09F604D,QR-R-79BB09AAB7
ELENA,PEREZ,ROBLES,R-202503-0072,"NOV. 4, 1996","HOUSE #112 STREET 21, DAGUPAN, ALICIA, ISABELA, 6738",NO,,MALE,MARRIED,,,TEACHER,,,QR-R-8F0CB0BDDA
MANUEL,RODRIGUEZ,ROBLES,R-202503-0073,"FEB. 14, 2008","HOUSE #112 STREET 21, DAGUPAN, ALICIA, ISABELA, 6738",NO,,MALE,SINGLE,,,STUDENT,PWD,,QR-R-DE79257A59
LOURDES,,"DE LA CRUZ",R-202503-0074,"JUN. 3, 2014","HOUSE #112 STREET 21, DAGUPAN, ALICIA, ISABELA, 6738",NO,,FEMALE,SINGLE,,,STUDENT,,702A34239FB6,QR-R-43BE28E5CA
MARIA,,DOMINGO,R-202503-0075,"JAN. 14, 1935","HOUSE #112 STREET 21, DAGUPAN, ALICIA, ISABELA, 6738",NO,,MALE,SINGLE,,,RETIRED,"SENIOR CITIZEN, PWD",,QR-R-3E4B8E20BE
PEDRO,DIAZ,"DE GUZMAN",R-202503-0076,"JAN. 14, 1966","HOUSE #112 STREET 21, DAGUPAN, ALICIA, ISABELA, 6738",NO,,MALE,WIDOWED,,,TEACHER,,,QR-R-4710D5430A
JUAN,CRUZ,NAVARRO,R-202503-0077,"NOV. 22, 2009","HOUSE #853 STREET 47, DAGUPAN, ALICIA, ISABELA, 4579",NO,,MALE,SINGLE,,,UNEMPLOYED,,,QR-R-28E6692191
JOSE,SANTOS,TORRES,R-202503-0078,"FEB. 25, 1972","HOUSE #853 STREET 47, DAGUPAN, ALICIA, ISABELA, 4579",NO,,FEMALE,MARRIED,,,PRIVATE_EMPLOYEE,,,QR-R-E735E5A063
CARMEN,,MORALES,R-202503-0079,"JUN. 10, 1965","HOUSE #853 STREET 47, DAGUPAN, ALICIA, ISABELA, 4579",NO,,FEMALE,MARRIED,,,FARMER,,,QR-R-43C276283A
PEDRO,,BAUTISTA,R-202503-0080,"JUN. 30, 1999","HOUSE #853 STREET 47, DAGUPAN, ALICIA, ISABELA, 4579",NO,,MALE,MARRIED,,,FACTORY_WORKER,,,QR-R-EEEB9B22B2
LOURDES,GARCIA,GUTIERREZ,R-202503-0081,"APR. 30, 2009","HOUSE #170 STREET 13, SAN FERNANDO, ALICIA, ISABELA, 3093",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-2929D17292
MANUEL,,VALDEZ,R-202503-0082,"OCT. 12, 2024","HOUSE #170 STREET 13, SAN FERNANDO, ALICIA, ISABELA, 3093",NO,,MALE,SINGLE,,,STUDENT,,1C12EB0C29E7,QR-R-B49D661C38
JOSEFINA,RAMOS,PEREZ,R-202503-0083,"JUL. 12, 1989","HOUSE #170 STREET 13, SAN FERNANDO, ALICIA, ISABELA, 3093",NO,,FEMALE,MARRIED,,,TEACHER,,,QR-R-F008BA933C
CARLOS,,MARQUEZ,R-202503-0084,"DEC. 17, 2023","HOUSE #170 STREET 13, SAN FERNANDO, ALICIA, ISABELA, 3093",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-43449ACCDF
LUISA,,SANTOS,R-202503-0085,"OCT. 16, 2000","HOUSE #170 STREET 13, SAN FERNANDO, ALICIA, ISABELA, 3093",NO,,FEMALE,SINGLE,,,PRIVATE_EMPLOYEE,,EC59ABD18BB4,QR-R-7D0ED1330B
TERESA,TORRES,MARQUEZ,R-202503-0086,"MAR. 24, 1990","HOUSE #856 STREET 23, MAGSAYSAY (POB.), ALICIA, ISABELA, 7373",NO,,MALE,SINGLE,,,FARMER,,0341598413AA,QR-R-6EDFAB692C
CARMEN,,SANTOS,R-202503-0087,"JAN. 14, 2003","HOUSE #856 STREET 23, MAGSAYSAY (POB.), ALICIA, ISABELA, 7373",NO,,FEMALE,SINGLE,,,UNEMPLOYED,,,QR-R-895DC46931
ANA,AQUINO,CASTRO,R-202503-0088,"SEP. 20, 2024","HOUSE #856 STREET 23, MAGSAYSAY (POB.), ALICIA, ISABELA, 7373",NO,,MALE,SINGLE,,,STUDENT,,0D0801599EC2,QR-R-F5CC8C82D8
MANUEL,FLORES,"DE LA CRUZ",R-202503-0089,"MAY. 14, 2003","HOUSE #856 STREET 23, MAGSAYSAY (POB.), ALICIA, ISABELA, 7373",NO,,FEMALE,SINGLE,,,FACTORY_WORKER,PWD,CB9CA7868E2D,QR-R-CD62EE9685
CARMEN,,VILLEGAS,R-202503-0090,"OCT. 15, 1997","HOUSE #856 STREET 23, MAGSAYSAY (POB.), ALICIA, ISABELA, 7373",NO,,FEMALE,SINGLE,,,FACTORY_WORKER,,,QR-R-2FB42D580F
LUIS,,BAUTISTA,R-202503-0091,"MAR. 3, 2023","HOUSE #856 STREET 23, MAGSAYSAY (POB.), ALICIA, ISABELA, 7373",NO,,MALE,SINGLE,,,STUDENT,PWD,,QR-R-22D2F64129
CARMEN,AQUINO,HERNANDEZ,R-202503-0092,"JUL. 26, 2010","HOUSE #321 STREET 34, INANAMA, ALICIA, ISABELA, 3183",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-B67C8C9FAB
LUIS,RIVERA,MORALES,R-202503-0093,"APR. 30, 2005","HOUSE #321 STREET 34, INANAMA, ALICIA, ISABELA, 3183",NO,,MALE,SINGLE,,,STUDENT,,8E439704C238,QR-R-E8F3913BC7
JOSE,,VILLANUEVA,R-202503-0094,"JAN. 28, 2009","HOUSE #321 STREET 34, INANAMA, ALICIA, ISABELA, 3183",NO,,FEMALE,SINGLE,,,UNEMPLOYED,,62336396B5FC,QR-R-8F152235BE
LUIS,REYES,ROBLES,R-202503-0095,"SEP. 13, 1972","HOUSE #86 STREET 47, CALLAO, ALICIA, ISABELA, 8640",NO,,MALE,MARRIED,,,PRIVATE_EMPLOYEE,,93A1B8F52FEA,QR-R-D4287D1553
JOSEFINA,PEREZ,CRUZ,R-202503-0096,"OCT. 17, 1991","HOUSE #86 STREET 47, CALLAO, ALICIA, ISABELA, 8640",NO,,FEMALE,MARRIED,,,FARMER,,,QR-R-DA94C65A70
JUAN,CASTRO,RODRIGUEZ,R-202503-0097,"MAY. 26, 2008","HOUSE #86 STREET 47, CALLAO, ALICIA, ISABELA, 8640",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-BBAA1B1CA4
JOSE,,SANTIAGO,R-202503-0098,"MAR. 17, 1976","HOUSE #86 STREET 47, CALLAO, ALICIA, ISABELA, 8640",NO,,FEMALE,MARRIED,,,PRIVATE_EMPLOYEE,,,QR-R-D0E60F4028
SOFIA,,PADILLA,R-202503-0099,"OCT. 15, 2009","HOUSE #86 STREET 47, CALLAO, ALICIA, ISABELA, 8640",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-B1A4694568
LUISA,SANTOS,PADILLA,R-202503-0100,"JUN. 4, 2012","HOUSE #558 STREET 19, MABINI, ALICIA, ISABELA, 3165",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-02192DF7C5
ANA,RIVERA,"DE GUZMAN",R-202503-0101,"MAY. 20, 1985","HOUSE #558 STREET 19, MABINI, ALICIA, ISABELA, 3165",NO,,FEMALE,MARRIED,,,VENDOR,,,QR-R-277555E203
MIGUEL,FLORES,"DE GUZMAN",R-202503-0102,"FEB. 29, 2004","HOUSE #558 STREET 19, MABINI, ALICIA, ISABELA, 3165",NO,,MALE,SINGLE,,,STUDENT,,,QR-R-AFFC0BFAE8
CARLOS,RIVERA,"DE LA CRUZ",R-202503-0103,"FEB. 5, 2008","HOUSE #558 STREET 19, MABINI, ALICIA, ISABELA, 3165",NO,,FEMALE,SINGLE,,,LABORER,,,QR-R-7642D6A89E
RAFAEL,LOPEZ,SANTIAGO,R-202503-0104,"JAN. 13, 2012","HOUSE #558 STREET 19, MABINI, ALICIA, ISABELA, 3165",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-AF32C5F55D
ANTONIO,,LOPEZ,R-202503-0105,"JAN. 21, 2008","HOUSE #138 STREET 44, CALLAO, ALICIA, ISABELA, 9983",NO,,FEMALE,SINGLE,,,STUDENT,,,QR-R-16C232062D
PEDRO,AQUINO,RAMOS,R-202503-0106,"MAR. 22, 2001","HOUSE #138 STREET 44, CALLAO, ALICIA, ISABELA, 9983",NO,,MALE,SINGLE,,,LABORER,,42635EF12923,QR-R-7B14451D4A
RAFAEL,AQUINO,DOMINGO,R-202503-0107,"OCT. 23, 1988","HOUSE #138 STREET 44, CALLAO, ALICIA, ISABELA, 9983",NO,,FEMALE,MARRIED,,,LABORER,,,QR-R-D0FA1511A5
ROSA,LOPEZ,GONZALES,R-202503-0108,"APR. 3, 1991","HOUSE #109 STREET 8, BONIFACIO, ALICIA, ISABELA, 4048",NO,,MALE,MARRIED,,,TEACHER,,,QR-R-6D0FA7DB83
TERESA,,CASTRO,R-202503-0109,"MAR. 16, 2002","HOUSE #109 STREET 8, BONIFACIO, ALICIA, ISABELA, 4048",NO,,FEMALE,SINGLE,,,STUDENT,PWD,,QR-R-37EDFA88BD
LUIS,TORRES,TORRES,R-202503-0110,"MAR. 24, 1972","HOUSE #600 STREET 32, BAGONG SIKAT, ALICIA, ISABELA, 6105",NO,,FEMALE,MARRIED,,,PRIVATE_EMPLOYEE,,06E62C994454,QR-R-14A72FD6F9
CARLOS,FLORES,NAVARRO,R-202503-0111,"FEB. 25, 1975","HOUSE #600 STREET 32, BAGONG SIKAT, ALICIA, ISABELA, 6105",NO,,FEMALE,WIDOWED,,,FACTORY_WORKER,,,QR-R-F10092663A
FRANCISCO,,LOPEZ,R-202503-0112,"JAN. 10, 2000","HOUSE #600 STREET 32, BAGONG SIKAT, ALICIA, ISABELA, 6105",NO,,MALE,MARRIED,,,FARMER,,84B0BCB512D8,QR-R-873285FBDE
JUAN,,AQUINO,R-202503-0113,"NOV. 8, 2001","HOUSE #600 STREET 32, BAGONG SIKAT, ALICIA, ISABELA, 6105",NO,,FEMALE,SINGLE,,,PRIVATE_EMPLOYEE,,D5647CE09C83,QR-R-15CD105901
LUISA,LOPEZ,"DE LA CRUZ",R-202503-0114,"AUG. 21, 1983","HOUSE #948 STREET 49, BAGNOS, ALICIA, ISABELA, 6214",NO,,FEMALE,MARRIED,,,FACTORY_WORKER,,,QR-R-879E57B99F
